geohash,lat,lon
dr5quz6,40.60201869021895,-73.96766811243029
dr5quz7,40.60202132028703,-73.96626967481451
dr5quz8,40.60345598879632,-73.96983289465341
dr5quzb,40.60480087446755,-73.97008871405296
dr5quzc,40.60467764239521,-73.96880735143213
dr5quzd,40.60336374430741,-73.9679234495933
dr5quze,40.60339552976927,-73.96626462881048
dr5quzf,40.60472023230615,-73.96750311941886
dr5quzg,40.60487493989051,-73.96615825404606
dr5quzh,40.60067787083692,-73.96462459349779
dr5quzj,40.60064950093968,-73.96350986979866
dr5quzk,40.602023062973416,-73.96488184902383
dr5quzm,40.60199464012195,-73.96376838216582
dr5quzn,40.60051999796533,-73.96199385330485
dr5quzp,40.600667134048386,-73.96064861750749
dr5quzq,40.602231392182425,-73.96205287138187
dr5quzr,40.60204440964979,-73.96046572348641
dr5quzs,40.603368782953545,-73.96513661501045
dr5quzt,40.603441360163885,-73.96309710748046
dr5quzu,40.60497763376718,-73.96480713833682
dr5quzv,40.60478681668462,-73.96335111406094
dr5quzw,40.603428220110075,-73.96158416536045
dr5quzx,40.60341207453012,-73.96057284070042
dr5quzy,40.60463607082124,-73.9619936853176
dr5quzz,40.60478104592638,-73.96067800073185
dr5qvp1,40.60068377325619,-73.95770027555979
dr5qvp6,40.6020844377973,-73.95607306441015
dr5qvp7,40.60204301501476,-73.9550830597612
dr5qvp8,40.60342086650431,-73.9591638184428
dr5qvp9,40.603405235975195,-73.95790056740616
dr5qvpb,40.604766537911985,-73.95941807738113
dr5qvpd,40.60355522884502,-73.95655753976177
dr5qvpg,40.60473760832611,-73.95558329172694
dr5qvph,40.600655729951136,-73.95383812155879
dr5qvpj,40.60068245001413,-73.95222796361685
dr5qvpk,40.60200126116272,-73.95409208496704
dr5qvpm,40.602094709931656,-73.95189885469424
dr5qvpn,40.60070887370884,-73.95060391431632
dr5qvpq,40.602054693720156,-73.95085870258731
dr5qvps,40.603449626495795,-73.95340215590714
dr5qvpt,40.60343681240101,-73.95218824999078
